"범죄별","발생지역별","시점","범죄발생지역",
"A/Bⅹ100,000","제주","2015 년","5739",
"A/Bⅹ100,000","제주","2016 년","5829.5",
"A/Bⅹ100,000","제주","2017 년","5201.3",
"A/Bⅹ100,000","제주","2018 년","4512.4",
"A/Bⅹ100,000","제주","2019 년","4220.3",
"A/Bⅹ100,000","제주","2020 년","4342.5",
"형법범","계","2014 년","1016209",
"형법범","계","2015 년","1047761",
"형법범","계","2016 년","1005689",
"형법범","계","2017 년","958865",
"형법범","계","2018 년","988398",
"형법범","계","2019 년","1041395",
"형법범","계","2020 년","1044438",
"형법범","서울","2014 년","237144",
"형법범","서울","2015 년","237255",
"형법범","서울","2016 년","226444",
"형법범","서울","2017 년","214250",
"형법범","서울","2018 년","213505",
"형법범","서울","2019 년","220375",
"형법범","서울","2020 년","212043",
"형법범","부산","2014 년","81265",
"형법범","부산","2015 년","81744",
"형법범","부산","2016 년","76954",
"형법범","부산","2017 년","74721",
"형법범","부산","2018 년","75907",
"형법범","부산","2019 년","81027",
"형법범","부산","2020 년","83892",
"형법범","대구","2014 년","48979",
"형법범","대구","2015 년","50785",
"형법범","대구","2016 년","45399",
"형법범","대구","2017 년","43020",
"형법범","대구","2018 년","44294",
"형법범","대구","2019 년","48919",
"형법범","대구","2020 년","48772",
"형법범","인천","2014 년","51529",
"형법범","인천","2015 년","55758",
"형법범","인천","2016 년","57485",
"형법범","인천","2017 년","55215",
"형법범","인천","2018 년","59118",
"형법범","인천","2019 년","63447",
"형법범","인천","2020 년","61151",
"형법범","광주","2014 년","35533",
"형법범","광주","2015 년","33205",
"형법범","광주","2016 년","28555",
"형법범","광주","2017 년","26369",
"형법범","광주","2018 년","28120",
"형법범","광주","2019 년","30296",
"형법범","광주","2020 년","29178",
"형법범","대전","2014 년","31032",
"형법범","대전","2015 년","32203",
"형법범","대전","2016 년","30300",
"형법범","대전","2017 년","28799",
"형법범","대전","2018 년","29932",
"형법범","대전","2019 년","30255",
"형법범","대전","2020 년","30771",
"형법범","울산","2014 년","22995",
"형법범","울산","2015 년","14839",
"형법범","울산","2016 년","13889",
"형법범","울산","2017 년","13000",
"형법범","울산","2018 년","13382",
"형법범","울산","2019 년","13133",
"형법범","울산","2020 년","13630",
"형법범","세종","2014 년","1807",
"형법범","세종","2015 년","2196",
"형법범","세종","2016 년","2633",
"형법범","세종","2017 년","2894",
"형법범","세종","2018 년","3170",
"형법범","세종","2019 년","4024",
"형법범","세종","2020 년","4199",
"형법범","경기","2014 년","225487",
"형법범","경기","2015 년","239420",
"형법범","경기","2016 년","234030",
"형법범","경기","2017 년","225477",
"형법범","경기","2018 년","235878",
"형법범","경기","2019 년","249200",
"형법범","경기","2020 년","255655",
"형법범","강원","2014 년","27785",
"형법범","강원","2015 년","28821",
"형법범","강원","2016 년","29324",
"형법범","강원","2017 년","28283",
"형법범","강원","2018 년","27132",
"형법범","강원","2019 년","28829",
"형법범","강원","2020 년","28098",
"형법범","충북","2014 년","28426",
"형법범","충북","2015 년","29343",
"형법범","충북","2016 년","28664",
"형법범","충북","2017 년","27624",
"형법범","충북","2018 년","28646",
"형법범","충북","2019 년","30417",
